wine,winery,category,designation,varietal,appellation,alcohol,price,rating,reviewer,review
Troublemaker by Austin Hope NV 9 Red (Central Coast),Troublemaker by Austin Hope,Red,9,"Red Blends, Red Blends","Central Coast, Central Coast, California, US",14.5%,$20,90,Matt Kettmann,"This blend of 71% Syrah, 16% Grenache, 8% Zinfandel, 3% Petite Sirah and 2% Mourvèdre stands up to Paso blends three times its price. Broad aromas of plum, olallieberry and dried cherry mix with vanilla, dill and herbes de Provence on the nose. The creamy palate conveys boysenberry and blackberry seasoned by lavender and white pepper."
Camp 2014 Merlot (Sonoma County),Camp,Red,,Merlot,"Sonoma County, Sonoma, California, US",13.8%,$18,91,Virginie Boone,"This is an amazing wine at this price point, fun and easily enjoyable in its mix of soft, velvety red fruit and firm grip of tannin, backed by plenty of acidity. Stock up for larger gatherings and for midweek meals."
Colosi 2014 Nero d'Avola (Terre Siciliane),Colosi,Red,,"Nero d'Avola, Italian Red","Terre Siciliane, Sicily & Sardinia, Italy",14%,$17,89,Kerin O’Keefe,"Blue flower, sunbaked earth, Mediterranean brush and dark-skinned berry aromas lead the way on this easygoing red. The round, chewy palate offers juicy black cherry, raspberry jam and a white pepper note alongside rounded tannins. It's straightforward but savory and made to be enjoyed young."
Emmerich Knoll 2017 Ried Pfaffenberg Kabinett Riesling (Wachau),Emmerich Knoll,White,Ried Pfaffenberg Kabinett,Riesling,"Wachau, Austria",12.5%,$48,92,Anne Krebiehl MW,"This Kabinett-style wine's heady yuzu leaf and lemon blossom aromas persist on the wonderfully light and still slightly spritzy palate. It's sinuous and light, like a fresh citrus breeze. The finish is off dry and zesty."
Viña Bisquertt 2012 La Joya Gran Reserva Gewurztraminer (Colchagua Valley),Viña Bisquertt,White,La Joya Gran Reserva,"Gewürztraminer, Gewürztraminer","Colchagua Valley, Chile",14%,$15,85,Michael Schachner,"Soft citrus with exotic spice notes make for a good but flabby bouquet. Things follow suit in the mouth, which is chunky and heavy. Flavors of mild citrus and lychee are oily and lightly spiced, while the finish flattens up and turns bitter. Drink now."
Kirkland Signature 2013 Cabernet Sauvignon (Alexander Valley),Kirkland Signature,Red,,Cabernet Sauvignon,"Alexander Valley, Sonoma, California, US",13.6%,$10,85,Virginie Boone,Smoke and baked plum notes provide flavor within this wine's easygoing structure and approachability.
Herdade do Perdigão 2013 Villa Romanu White (Alentejo),Herdade do Perdigão,White,Villa Romanu,Portuguese White,"Alentejo, Portugal",13%,$9,85,Roger Voss,"Tight and textured, this is a mineral structured wine. Green fruits and acidity keep the wine fresh. The aftertaste is flatter, not bringing out enough fruit."
The Fifth Empire-Abstracto 2017 Gran Vino Estate Grown and Bottled Cabernet Sauvignon (Mendoza),The Fifth Empire-Abstracto,Red,Gran Vino Estate Grown and Bottled,Cabernet Sauvignon,"Mendoza, Mendoza Province, Argentina",14%,$35,88,Michael Schachner,"Chunky black-fruit aromas are full and fruity but common. A grabby palate with hard tannins is jagged more than smooth flowing, while earthy plum and prune flavors culminate on a drawing finish anchored by hard rubbery tannins. Drink through 2028."
Bryn Mawr Vineyards 2010 Estate Pinot Noir (Eola-Amity Hills),Bryn Mawr Vineyards,Red,Estate,Pinot Noir,"Eola-Amity Hills, Willamette Valley, Oregon, US",12.9%,$20,87,Paul Gregutt,"This is a rather tannic, lightly peppery Pinot Noir, with plenty of balancing acidity. The red fruits are pleasantly backed with a bit of barrel toast."
Cuvaison 2016 Mariafeld Estate Grown Pinot Noir (Los Carneros),Cuvaison,Red,Mariafeld Estate Grown,Pinot Noir,"Los Carneros, Napa-Sonoma, California, US",14.5%,$50,91,Virginie Boone,"Light cranberry and strawberry flavors show impressive depth and breadth in this full-bodied expressive wine. Cola and cinnamon provide spicy seasoning that melds well with the fruit, the entirety textured in layers of velvety softness."
Capanna 2010 Riserva  (Brunello di Montalcino),Capanna,Red,Riserva,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",15.5%,$90,89,Kerin O’Keefe,"Warm and hearty, this opens with aromas that recall mature dark-skinned fruit, leather, truffle, scorched soil and a menthol note. The big, chewy palate delivers black cherry marinated in spirits, ground pepper and anise alongside a tannic backbone. The heat of evident alcohol dominates the finish and gives it a monolithic quality."
Hindsight 2017 20/20 Retrospective Red (Napa Valley),Hindsight,Red,20/20 Retrospective,"Red Blends, Red Blends","Napa Valley, Napa, California, US",14.5%,$25,90,Virginie Boone,"Peppercorn, cedar and powerful oak mark this blend of Cabernet Sauvignon, Merlot and Petit Verdot, priced fairly for the good quality. Full-bodied black fruit and weighty tannin provide concentrated richness that goes the distance."
Angove's 2008 Nine Vines Viognier (South Australia),Angove's,White,Nine Vines,Viognier,"South Australia, South Australia, Australia",14.5%,$12,86,,"Exotic and decadent, with violets, spice, anise, clove and vanilla scents making for a complex opening. The palate is accented by tangy orange peel tones that shape the finish. Drink now."
Buried Cane 2008 Cabernet Sauvignon (Washington),Buried Cane,Red,,Cabernet Sauvignon,"Washington, Washington Other, Washington, US",,$13,86,Paul Gregutt,"Though labeled varietally, almost a quarter of the blend is Malbec, along with a two percent splash of Syrah. Herbal and showing scents of stem along with peppery black fruits, this tannic and inexpensive red would be a fine match for a pot roast or stew. Black olive and smoke flavors weave into the finish."
Fantinel NV Extra Dry  (Prosecco),Fantinel,Sparkling,Extra Dry,"Prosecco, Sparkling","Prosecco, Veneto, Italy",11.5%,$16,84,,"There's a touch of almond or hazelnut buried deep within this wine's aromatic profile that contributes to its thick, dense mouthfeel. The wine is creamy and smooth and would make a good match to lightly roasted fish dishes."
Poggio dell'Aquila 2016  Brunello di Montalcino,Poggio dell'Aquila,Red,,Sangiovese,"Brunello di Montalcino, Tuscany, Italy",14%,$65,90,Kerin O’Keefe,"Made with organically grown Sangiovese, this has aromas of black-skinned berry, underbrush and leather. The juicy palate offers black cherry, star anise and tobacco alongside polished tannins and firm acidity. Drink 2023–2031."
De Grendel 2019 Cape Winemakers Guild Wooded Sauvignon Blanc (Darling),De Grendel,White,Cape Winemakers Guild Wooded,Sauvignon Blanc,"Darling, South Africa",13.14%,,92,Lauren Buzzeo,"Winemaker: Charles Hopkins. There's a pronounced green, herbal note right upfront on the nose of this wine, offering some serious pyrazine character. Green plum and lime leaf lead the aromas and carry through to the medium-weight palate. There's nice body to the mouthfeel, with a subtle creaminess to the midpalate that's then refreshed by bright acidity and a pithy, green-plum skin and lime pith character that floods the finish. Fresh fynbos and herbs, like celery root, parsley and mache, linger long on the close."
Ironstone 2018 Petite Sirah (Lodi),Ironstone,Red,,Petite Sirah,"Lodi, Central Valley, California, US",13.5%,$14,89,Jim Gordon,"Full bodied and firmly tannic, this wine is nicely stuffed with blueberry and chocolate flavors and wrapped in a thick, clinging texture."
Desert Wind 1999 Cabernet Sauvignon (Columbia Valley (WA)),Desert Wind,Red,,Cabernet Sauvignon,"Columbia Valley (WA), Columbia Valley, Washington, US",,$13,84,Paul Gregutt,"Charred, horsey scents of burnt leather dominate the attack. This is a dark, tannic wine, chewy and mouth-scraping dry; inside is a core of black cherry fruit, but it's overwhelmed by all the tar and smoke."
Château Coutet 2018 Barrel Sample  (Barsac),Château Coutet,Dessert,Barrel Sample,"Bordeaux-style White Blend, White Blend","Barsac, Bordeaux, France",,,96,Roger Voss,"95–97. Barrel Sample. This wine's ripeness is intense, just hinting at an impressive future. The dry core of botrytis balances the honey and the spice, along with fresh lemon curd. This is likely to be a very fine wine."
Villa Maria 2018 Cellar Selection Sauvignon Blanc (Marlborough),Villa Maria,White,Cellar Selection,Sauvignon Blanc,"Marlborough, New Zealand",13%,$17,89,Christina Pickard,"This well-balanced wine bursts with fruit-bowl characteristics of grapefruit, lime and passion fruit with black-currant leaf, grass and jalapeño pepper to boot. It's slippery in texture, tangy fruited and buoyed by crisp acidity. A long passion fruit note lingers on the finish."
Lionel Osmin & Cie 2010 Red (Buzet),Lionel Osmin & Cie,Red,,Bordeaux-style Red Blend,"Buzet, Southwest France, France",14%,,88,Roger Voss,"The richness of the vintage is very apparent in this full-bodied wine. With weight, structure and dark black fruits, it is textured and showing some vanilla and spice. Smooth, developing well and ready to drink in 2014."
Château Tour Saint-Joseph 2016  Haut-Médoc,Château Tour Saint-Joseph,Red,,Bordeaux-style Red Blend,"Haut-Médoc, Bordeaux, France",,$26,90,Roger Voss,"This 44-acre estate in the north of the Haut-Médoc appellation has produced a blend with almost equal quantities of Merlot and Cabernet Sauvignon, spiced with Cabernet Franc. Its rich fruit and warm tannins are already delicious while also having good potential. The wine, ripe and full, should be ready from 2022."
Les Belles Collines 2015 Pinot Noir (Russian River Valley),Les Belles Collines,Red,,Pinot Noir,"Russian River Valley, Sonoma, California, US",14.3%,$45,94,Virginie Boone,"A light, ethereal quality ignites this wine's compelling high-toned acidity and subtle, integrated oak. Juicy orange and cranberry form its core, as roses permeate the nose. The texture is silky smooth and inviting."
Fullerton 2017 Three Otters Pinot Noir (Willamette Valley),Fullerton,Red,Three Otters,Pinot Noir,"Willamette Valley, Willamette Valley, Oregon, US",13.5%,$22,88,Paul Gregutt,"The winery has substantially increased the production of this affordably priced Pinot, which is fresh and aromatic. Scents and flavors of chocolate, strawberry, raspberry and cherry are in play, and fermentation with native yeast in neutral oak adds texture throughout. The finish turns quite tart and lightly herbal."
Calcareous 2006 Syrah (Paso Robles),Calcareous,Red,,,"Paso Robles, Central Coast, California, US",,$32,85,,"A pretty good wine, with a firmly tannic, clean structure. Shows jammy or pie-filling cherry, blackberry and cocoa flavors, spiced with anise and pepper."
Shirvington 2008 Cabernet Sauvignon (McLaren Vale),Shirvington,Red,,Cabernet Sauvignon,"McLaren Vale, South Australia, Australia",15.5%,$60,89,Joe Czerwinski,"This well-endowed Cabernet is full bodied and supple, with soft curves suggesting immediate drinkability. It starts off with mint and cassis on the nose, but quickly develops some dried-fruit, almost molasses-like characters on the palate along with a touch of alcoholic warmth."
Viña La Rosa 2009 La Capitana Barrel Reserve Merlot (Cachapoal Valley),Viña La Rosa,Red,La Capitana Barrel Reserve,Merlot,"Cachapoal Valley, Chile",14.5%,$18,89,Michael Schachner,"A step up from previous years. It's ripe and minty on the nose, with coconutty oak but also offsetting raspberry and plum aromas. Forward and full, with berry and plum flavors that handle ample toast and mint accents. Spicy, dry, peppery and long on the finish."
Tornatore 2019 Pietrarizzo Bianco  (Etna),Tornatore,White,Pietrarizzo Bianco,White Blend,"Etna, Sicily & Sardinia, Italy",13%,$55,95,Kerin O’Keefe,"Made predominantly from Carricante with a drop of Catarratto, this smooth, stunning white offers delicate, enticing scents of Spanish broom, chamomile, ripe white-stone fruit and a whiff of smoke. Savory and loaded with elegance, the medium-bodied, focused palate features juicy Meyer lemon, ripe Bartlett pear, golden apple and tangy, saline mineral notes. Bright acidity lends tension and balance. Drink through 2025."
Château Brethous 2018 Cuvée Prestige  (Cadillac Côtes de Bordeaux),Château Brethous,Red,Cuvée Prestige,Merlot,"Cadillac Côtes de Bordeaux, Bordeaux, France",13%,$25,90,Roger Voss,"A year of barrel aging and a selection of the estate's best grapes give this wine a distinguished character. With blackberry fruits and rich tannins, it is dense while having a light touch. Drink from 2022. Organic."
Casa de Santar 2001 Castas de Santar Touriga Nacional (Dão),Casa de Santar,Red,Castas de Santar,"Touriga Nacional, Portuguese Red","Dão, Portugal",,$10,88,Roger Voss,"A finely constructed wine which shows rich herbal flavors, dry tannins and also solid, structured fruit. With its black fruits, its dense texture and its dark acidity, this is a wine which will age well, over 4–5 years."
Campo alla Sughera 2004 Adèo  (Bolgheri),Campo alla Sughera,Red,Adèo,"Red Blends, Red Blends","Bolgheri, Tuscany, Italy",13.5%,$25,90,,"Here is a Cabernet Sauvignon-Merlot blend that borrows on Bordeaux inspiration but delivers an all-Italian personality. Earthy smells are woven seamlessly with notes of forest berry, blackberry and cedar wood; there's also an appealing hint of smoked bacon. The wine appears firm and solid in the mouth."
Sutter Home 1997 Pinot Noir (California),Sutter Home,Red,,Pinot Noir,"California, California Other, California, US",,$6,84,,"Restrained, lean, subtle black-fruit nose. Soft, round, elegant fruit flavors. Very accessible, with nuances of black cherries. True Pinot Noir character. For drinking now and within the next year, perhaps two at most."
Lucienne 2011 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),Lucienne,Red,Lone Oak Vineyard,Pinot Noir,"Santa Lucia Highlands, Central Coast, California, US",14.5%,$50,91,,"This is a joy to drink. It's dry and silky, with savory raspberry, cherry and cola flavors that are accented by earthy notes of sautéed wild mushrooms, balsamic and soy sauce. It should improve even more with a few years in the bottle."
